   Depth      Permea    Poro
   3047.50    14.000    17.200
   3048.50     0.380    13.800
   3054.50     1.700    16.400
   3055.50     1.000    16.600
   3056.50     0.470    15.200
   3057.50     2.000    16.700
   3060.50     9.700    17.300
   3061.50     3.100    17.000
   3062.50     1.900    15.700
   3063.50     5.200    15.900
   3064.50     2.900    14.300
   3065.50     3.300    15.100
   3066.50     4.100    14.300
   2918.50    11.000    17.000
   2919.50     0.290    10.400
   2920.50     2.500    14.300
   2921.50    34.000    17.200
   2922.50    20.000    17.000
   2923.50    19.000    17.200
   2924.50    25.000    17.000
   2925.50     5.900    13.200
   2926.50    11.000    15.800
   2927.50    47.000    16.700
   2928.50    22.000    15.400
   2929.50    30.000    16.400
   2930.50    33.000    15.600
   2931.50    34.000    15.400
   2932.50    30.000    15.200
   2933.50    19.000    14.900
   2934.50   122.000    22.700
   2935.50    99.000    17.300
   2936.50    22.000    14.600
   2937.50    12.000    13.000
   2938.50    26.000    15.100
   2939.50    96.000    16.600
   2940.50     8.700    13.500
   2941.50    37.000    15.000
   2942.50    26.000    15.500
   2943.50    64.000    16.600
   2944.50   151.000    16.800
   2946.50     7.300    11.400
   2947.50     5.600    12.700
   2948.50     0.640    13.000
   2992.50     4.500    12.800
   2993.50    21.000    14.800
   2994.50     1.700    10.900
   2995.50     3.000    12.500
   2997.50     3.300    11.500
   2998.50    10.000    12.900
   3000.50     1.600    11.700
   3001.50     3.300    11.700
   3002.50     7.100    13.600
   3003.50    27.000    15.600
   3004.50     7.400    10.900
   3005.50     0.850     8.100
   3006.50    10.000    13.600
   3007.50    19.000    14.800
   3008.50    14.000    13.700
   3009.50     2.800    10.500
   3010.50     8.500    11.500
   3011.50    16.000    12.800
   3012.50    15.000    13.100
   3013.50    15.000    14.400
   3014.50     1.000     9.600
   3015.50     4.500    11.300
   3016.50     5.300    13.000
   3017.50     4.700    12.600
   3018.50     3.200    12.400
   3036.50    22.000    15.600
   3037.50     1.100     9.500
   3038.50     2.000     9.100
   3046.50     0.350     8.700
   3048.50     7.100    10.800
   3049.50    11.000    13.100
   3050.50     1.500    12.100
   3018.50    24.000    17.100
   3019.50    11.000    16.300
   3020.50     0.920    12.800
   3021.50    16.000    16.800
   3022.50     4.700    13.900
