Lease,Well Number,State,Formation/Reservoir, Initial Pressure Estimate (psi) , Reservoir Temperature (deg F) , Net Pay (ft) , Wellbore Diameter (ft) ,Porosity, Water Saturation , Oil Saturation , Gas Saturation , Gas Specific Gravity ,CO2, H2S ,N2,Condensate Yield (Bc/MMcf),Condensate Gravity (API), Dew Point Pressure (psi) ,Sep. Temperature (deg F),Sep. Pressure (psi), Oil Gravity (API) , Initial GOR (scf/bbl) , Bubble Point Pressure (psi) , TVD (ft) , Spacing ,# Stages,# Clusters ,# Clusters per Stage,Pre-Refrac Completion # Stages,Pre-Refrac Completion # Clusters ,Initian Completion # Clusters per Stage,# of Total Proppant (Lbs),Total Fluid (Bbls), Lateral Length (ft) , Top Perf (ft) , Bottom Perf (ft) , Sandface Temp (deg F) , Static Wellhead Temp (deg F) , Configuration ,Production Path,Pressure Loss Correlation, Tubing ID (in) , Tubing OD (in) , Tubing Depth (ft) , Casing ID 1 (in) , Casing Footage 1 (ft) , Casing ID 2 (in) , Casing Footage 2 (ft) , Casing Depth (ft) , Configuration Change (Days Since First Prod) ,Production Path,Pressure Loss Correlation, Tubing ID (in) , Tubing OD (in) , Tubing Depth (ft) , Casing ID 1 (in) , Casing Footage 1 (ft) , Casing ID 2 (in) , Casing Footage 2 (ft) , Casing Depth (ft) , Configuration Change (Days Since First Prod) ,Production Path,Pressure Loss Correlation, Tubing ID (in) , Tubing OD (in) , Tubing Depth (ft) , Casing ID 1 (in) , Casing Footage 1 (ft) , Casing ID 2 (in) , Casing Footage 2 (ft) , Casing Depth (ft) , Configuration Change (Days Since First Prod) ,Production Path,Pressure Loss Correlation, Tubing ID (in) , Tubing OD (in) , Tubing Depth (ft) , Casing ID 1 (in) , Casing Footage 1 (ft) , Casing ID 2 (in) , Casing Footage 2 (ft) , Casing Depth (ft) , Configuration Change (Days Since First Prod) ,Production Path,Pressure Loss Correlation, Tubing ID (in) , Tubing OD (in) , Tubing Depth (ft) , Casing ID 1 (in) , Casing Footage 1 (ft) , Casing ID 2 (in) , Casing Footage 2 (ft) , Casing Depth (ft) , Description 
PEACOCK,36,PA,MARCELLUS - UPPER,3150,125,231,0.7,6.75%,27.00%,0.00%,73.00%,0.57,0.00%,0.00%,0.00%,,30,,100,100,30,,,6936.15,1500,75,373,5,,,,"                          38,875,334 ",,13011,6948,19959,125,60, Initial Config ,Casing,Gray,,,,4.778,20088,,,20088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1500' innerwell unbounded exterior 
PENGUIN,37,PA,MARCELLUS - UPPER,3400,125,232,0.7,6.72%,26.00%,0.00%,74.00%,0.57,0.00%,0.00%,0.00%,,30,,100,100,30,,,6944.14,1500,52,258,5,,,,"                          26,695,450 ",,12940,7193,20133,125,60, Initial Config ,Casing,Gray,,,,4.778,20263,,,20263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1500' innerwell unbounded exterior 
ALBATROSS,38,PA,MARCELLUS - UPPER,5000,126,170,0.7,6.39%,38.00%,0.00%,62.00%,0.57,0.00%,0.00%,0.00%,,30,,100,100,30,,,7698.57,,13,65,5,,,,"                                       6,756,861 ",,2268,7781,10049,126,65, Initial Config ,Tubing,Gray,1.995,2.375,7839,4.778,10136,,,10136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Unbounded 
PELICAN,39,PA,MARCELLUS - UPPER,2500,136,245,0.7,5.31%,40.00%,0.00%,60.00%,0.57,0.00%,0.00%,0.00%,,30,,100,100,30,,,7599.22,1200,26,130,5,,,,"                          13,662,881 ",,6415,7794,14209,136,60, Initial Config ,Casing,Gray,,,,4.778,14226,,,14226,421,Tubing,Gray,1.995,2.375,7656.9,4.778,14226,,,14226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1200' innerwell unbounded exterior 
OWL,40,PA,MARCELLUS - UPPER,2200,136,246,0.7,5.29%,39.00%,0.00%,61.00%,0.57,0.00%,0.00%,0.00%,,30,,100,100,30,,,7588.21,1200,27,135,5,,,,"                          14,163,366 ",,6701,7786,14487,136,60, Initial Config ,Casing,Gray,,,,4.778,14504,,,14504,424,Tubing,Gray,1.995,2.375,7868.2,4.778,14504,,,14504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1200' innerwell unbounded exterior 
FINCH,41,PA,MARCELLUS - UPPER,4300,133,177,0.7,7.23%,41.29%,0.00%,58.71%,0.57,0.00%,0.00%,0.00%,,30,,100,100,30,,,7635.03,1700,44,222,5,,,,"                                             20,508,723 ",,5644,7674,13318,133.04,80, Initial Config ,Tubing,Gray,2.441,2.875,7381.5,4.778,13419,,,13419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1700' 
ROBIN,42,PA,MARCELLUS - UPPER,4100,133,177,0.7,7.23%,41.28%,0.00%,58.72%,0.57,0.00%,0.00%,0.00%,,30,,100,100,30,,,7555.8,1700,30,141,5,,,,"                                             14,092,650 ",,4956,7544,12500,133.001,80, Initial Config ,Tubing,Gray,2.441,2.875,7357.9,4.778,12649,,,12649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1700' 
BLUEBIRD,43,PA,MARCELLUS - UPPER,4200,125,241,0.7,6.03%,35.00%,0.00%,65.00%,0.57,0.00%,0.00%,0.00%,,30,,100,100,30,,,7503.32,1500,49,196,4,,,,"                                                20,540,377 ",,6818,7319,14137,133,80, Initial Config ,Casing,Gray,,,,4.778,14174,,,14174,381,Tubing,Gray,2.441,2.875,7603.86,4.778,14174,,,14174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1500' innerwell unbounded exterior 
CANARY,44,PA,MARCELLUS - UPPER,4300,133,241,0.7,6.03%,35.00%,0.00%,65.00%,0.57,0.02%,0.00%,0.24%,,30,,100,100,30,,,7521.98,1500,46,185,4,,,,"                                                        25,367,923 ",,6607,7869,14476,133,80, Initial Config ,Casing,Gray,,,,4.778,14491,,,14491,381,Tubing,Gray,2.441,2.875,6724.5,4.778,14491,,,14491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1500' innerwell unbounded exterior 
SEAGULL,45,PA,MARCELLUS - UPPER,4400,136,230,0.7,5.99%,43.00%,0.00%,57.00%,0.57,0.00%,0.00%,0.00%,,30,,100,100,30,,,7305.07,1300,61,303,5,,,,"                          31,532,947 ",,10667,7410,18077,135,80, Initial Config ,Casing,Gray,,,,4.778,18211,,,18211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1300' innerwell unbounded exterior 
HUMMINGBIRD,46,PA,MARCELLUS - UPPER,4000,136,230,0.7,5.99%,43.00%,0.00%,57.00%,0.57,0.00%,0.00%,0.00%,,30,,100,100,30,,,7284.64,1300,41,203,5,,,,"                          21,395,323 ",,10214,7499,17713,135,80, Initial Config ,Casing,Gray,,,,4.778,17841,,,17841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1300' innerwell unbounded exterior 
PHOENIX,47,PA,MARCELLUS - UPPER,4450,137,232,0.7,5.87%,47.00%,0.00%,53.00%,0.57,0.00%,0.00%,0.00%,,30,,100,100,30,,,7190.42,900,29,141,5,,,,"                             14,860,164 ",,6942,7381,14323,136,80, Initial Config ,Casing,Gray,,,,4.778,14450,,,14450,306,Tubing,Gray,2.323,2.875,7571.3,4.778,14450,,,14450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 900' innerwell unbounded exterior 
TOUCAN,48,PA,MARCELLUS - UPPER,3900,137,232,0.7,5.87%,47.00%,0.00%,53.00%,0.57,0.00%,0.00%,0.00%,,30,,100,100,30,,,7204.55,900,28,138,5,,,,"                             11,178,400 ",,6712,7308,14020,136,80, Initial Config ,Casing,Gray,,,,4.778,14155,,,14155,305,Tubing,Gray,2.323,2.875,7552.61,4.778,14155,,,14155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 900' innerwell unbounded exterior 
GOOSE,49,PA,MARCELLUS - UPPER,5200,134,223,0.7,6.17%,40.22%,0.00%,59.78%,0.57,0.00%,0.00%,0.00%,,30,,100,100,30,,,7309.8,,7,49,7,,,,"                             5,079,200 ",,4787,7550,12337,133.611,60, Initial Config ,Tubing,Gray,1.995,2.375,7699,4.778,12442,,,12442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Unbounded 
