Lease,OSPREY,FALCON,HAWK,EAGLE,KITE,SWIFT,SPARROW,LARK,CARDINAL,JAY,CROW,LORIKEET,MYNAH,PARTRIDGE,CASSOWARY,ORIOLE,WARBLER,HARPY,BEE-EATER,LOON,CUCKOO,ROOSTER,ARCHAEOPTERYX,TERN,STILT,AVOCET,OSTRICH,EMU,DUCK,HERON,STORK,SWAN,PARROT,CRANE,IBIS,EGRET,PHEASANT,MACAW,FLAMINGO,PEACOCK,PENGUIN,ALBATROSS,PELICAN,OWL,FINCH,ROBIN,BLUEBIRD,CANARY,SEAGULL,HUMMINGBIRD,PHOENIX,TOUCAN,GOOSE
Well Number,1,2,3,4,5,6,7,8,9,10,11,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
State,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA
Formation/Reservoir,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,BOSSIER SHALE ,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER
 Casing Footage 2 (ft) ,6307,10541,11060,,,8509,8531,8225,8259,8302,11276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing Depth (ft) ,13248,18040,18609,,,16202,16090,16200,16290,16207,19216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Configuration Change (Days Since First Prod) ,1302,196,233,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production Path,Gas Lift,Gas Lift,Gas Lift,,,,,,,,Gas Lift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pressure Loss Correlation,Beggs & Brill,Beggs & Brill,Beggs & Brill,,,,,,,,Beggs & Brill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Tubing ID (in) ,2.441,1.995,1.995,,,,,,,,1.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Tubing OD (in) ,2.875,2.375,2.375,,,,,,,,2.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Tubing Depth (ft) ,6825,7595,7325,,,,,,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing ID 1 (in) ,4.67,4.778,4.778,,,,,,,,4.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing Footage 1 (ft) ,6941,7499,7549,,,,,,,,7940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing ID 2 (in) ,2.992,4.276,4.276,,,,,,,,4.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing Footage 2 (ft) ,6307,10541,11060,,,,,,,,11276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing Depth (ft) ,13248,18040,18609,,,,,,,,19216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Configuration Change (Days Since First Prod) ,1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production Path,Pumping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pressure Loss Correlation,Beggs & Brill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Tubing ID (in) ,2.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Tubing OD (in) ,2.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Tubing Depth (ft) ,6764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing ID 1 (in) ,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing Footage 1 (ft) ,6941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing ID 2 (in) ,2.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing Footage 2 (ft) ,6307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing Depth (ft) ,13248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Description , Well began producing and was later recompleted with modern completion design. , Interior well on a 3-well pad that was shut-in due to market conditions. Interpreted well response showed increased productivity post shut-in period. , Exterior well on a 3-well pad that was shut-in due to market conditions. Interpreted well response showed decreased productivity post shut-in period. , Single unbounded well with modern completion design. , Child well with modern completion design offsetting parent well with legacy completion design. , Exterior well on a 2-well pad with modern completion design. , Exterior well on a 2-well pad with modern completion design. , Exterior well on a 3-well pad with modern completion design. , Exterior well on a 3-well pad with modern completion design. , Interior well on a 3-well pad with modern completion design. , Child well that was codeveloped with adjacent well on a 2-well pad. Well was shut-in due to market conditions. Interpreted well response showed equivalent productivity post shut-in period. , SNG; Unbounded legacy well , CCD; Modern completions infilled between legacy parent wells. , CCD; Modern completions infilled between legacy parent wells. , PDB; CLS parent later offset by modern completion , CCD; Modern 3 well development infilled between legacy parent wells. , CLD; Modern 3 well development infilled between legacy parent wells. , CCD; Modern 3 well development infilled between legacy parent wells. , CCD; Modern completion comparison for twin pair test. , CLS; Wider CS & increase #/cl completion test , SNG; Bossier well , CLS; Increase #/cl completion test , CCD; Modern completions infilled between legacy parent wells. , CCD; Modern completions infilled between legacy parent wells. , CCD; Modern completions infilled between legacy parent wells. , CCD; Modern completions infilled between legacy parent wells. ," CLUSTER UNBOUND; Clean data, data suggest large drainage area, located in key Tier development Area ", CLUSTER BOUND; Modern Completion design ," PARENT; Modern Completion design, high IP, clean data, small portion depleted "," CLUSTER BOUND; co-developed, single bounded depletion ", CHILD BOUND; double bounded depletion ," CHILD BOUND; co-developed, single bound depletion "," PARENT; co-developed, no depletion "," CLUSTER UNBOUND; co-devoloped, 830' inner-well spacing, modelling shows greater than 1000' ; unbounded to east "," CLUSTER UNBOUND; co-devoloped, 830' inner-well spacing, modelling shows greater than 1000' ; unbounded to east ", unbounded; Largest CUM in Marcellus ," SINGLE; Modern Completion design, high Ark and clean data ", 1500' innerwell unbounded exterior , 1500' innerwell unbounded exterior , 1500' innerwell unbounded exterior , 1500' innerwell unbounded exterior , Unbounded , 1200' innerwell unbounded exterior , 1200' innerwell unbounded exterior , 1700' , 1700' , 1500' innerwell unbounded exterior , 1500' innerwell unbounded exterior , 1300' innerwell unbounded exterior , 1300' innerwell unbounded exterior , 900' innerwell unbounded exterior , 900' innerwell unbounded exterior , Unbounded 
