Lease,OSPREY,FALCON,HAWK,EAGLE,KITE,SWIFT,SPARROW,LARK,CARDINAL,JAY,CROW,LORIKEET,MYNAH,PARTRIDGE,CASSOWARY,ORIOLE,WARBLER,HARPY,BEE-EATER,LOON,CUCKOO,ROOSTER,ARCHAEOPTERYX,TERN,STILT,AVOCET,OSTRICH,EMU,DUCK,HERON,STORK,SWAN,PARROT,CRANE,IBIS,EGRET,PHEASANT,MACAW,FLAMINGO,PEACOCK,PENGUIN,ALBATROSS,PELICAN,OWL,FINCH,ROBIN,BLUEBIRD,CANARY,SEAGULL,HUMMINGBIRD,PHOENIX,TOUCAN,GOOSE
Well Number,1,2,3,4,5,6,7,8,9,10,11,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
State,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA
Formation/Reservoir,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,BOSSIER SHALE ,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER
CO2,2.17%,2.17%,2.17%,2.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,2.46%,2.45%,3.66%,3.81%,3.80%,3.81%,3.38%,3.38%,5.00%,5.80%,3.98%,3.94%,4.21%,4.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%
 H2S ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
N2,0.45%,0.45%,0.45%,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.05%,0.00%,0.04%,0.05%,0.04%,0.09%,0.09%,0.00%,0.00%,0.07%,0.05%,0.05%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%
Condensate Yield (Bc/MMcf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condensate Gravity (API),37.29,34.6,34.6,35.46,43.58,30,30,30,30,30,42.5,30,30,30,30,30,30,30,30,30,60,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
 Dew Point Pressure (psi) ,1211,1370,1370,2122,3064,2125,2100,2455,2440,2459,1764,9893,,,9800,,,,,,10,10500,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep. Temperature (deg F),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Sep. Pressure (psi),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
 Oil Gravity (API) ,37.29,34.6,34.6,35.46,43.58,30,30,30,30,30,42.5,13321.8,30,30,21274.3,30,30,30,30,30,60,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
 Initial GOR (scf/bbl) ,335.72,275.00,275.00,557.90,1034.70,637.70,628.40,762.28,756.84,763.84,513.07,,,,,,,,,,0,,,,,,591.61,,,,,,,,,,,,,,,,,,,,,,,,,,
 Bubble Point Pressure (psi) ,1211,1370,1370,2122,3064,2125,2100,2455,2440,2459,1764,,,,,,,,,,10,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,
 TVD (ft) ,7638.6,7501.8758,7516.6753,7890.81,8846.83,8549,8536.4,8779.86,8759,8790.71,8420.2,11258.854,11781.86043,11675.9339,12162.941,12509.62218,12451.17264,12484.19028,11965.4042,11906.29912,12064,12668,12123.47,12064.16,12545.04973,12530.46466,5707.639,8489.07,7543.37,7184.88,7124.64,7372,7367.95,8733.51,8757.909,7441.235,6721.11,7662.86,7651.15,6936.15,6944.14,7698.57,7599.22,7588.21,7635.03,7555.8,7503.32,7521.98,7305.07,7284.64,7190.42,7204.55,7309.8
 Spacing ,1400,1000,1000,Unbounded,1400,1500,1500,800,700,700,1300,,1000,1000,1300,850,850,850,1050,1050,,1250,1050,1050,850,850,,1850,1650,1500,1400,1300,1250,830,830,,1800,1500,1500,1500,1500,,1200,1200,1700,1700,1500,1500,1300,1300,900,900,
# Stages,28,64,68,50,34,50,49,50,49,48,69,10,74,74,8,67,60,65,63,77,89,47,66,66,66,64,13,41,70,31,23,42,39,33,33,14,40,51,47,75,52,13,26,27,44,30,49,46,61,41,29,28,7
# Clusters ,252,960,1020,450,306,450,441,450,735,432,1035,69,517,510,104,468,419,452,440,235,445,235,462,462,457,448,65,123,210,153,112,208,193,147,151,70,127,253,233,373,258,65,130,135,222,141,196,185,303,203,141,138,49
# Clusters per Stage,9,15,15,9,9,9,9,9,15,9,15,7,7,7,8,7,7,7,7,3,5,5,7,7,7,7,5,3,3,4.94,4.87,4.95,4.95,4.45,4.58,5,3.17,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,7
Pre-Refrac Completion # Stages,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Refrac Completion # Clusters ,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initian Completion # Clusters per Stage,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Total Proppant (Lbs),13514540,35970960,38064782,25267400,18554774,27785630,27550700,27024578,26576840,25986000,39020000,"3,591,544","23,245,567","22,963,009","6,134,650","27,197,082","25,082,774","26,976,378","26,397,928","41,398,865","42,946,954","26,632,739","20,836,790","20,748,830","20,374,069","20,174,551","                          7,194,425 ","                       18,404,917 ","                          31,201,810 ","                       12,051,645 ","                          8,680,895 ","                       16,477,745 ","                       15,197,373 ","                                                    15,087,050 ","                                                    13,598,370 ","                                                          8,605,550 ","                                                            18,250,968 ","                          25,754,836 ","                          24,374,215 ","                          38,875,334 ","                          26,695,450 ","                                       6,756,861 ","                          13,662,881 ","                          14,163,366 ","                                             20,508,723 ","                                             14,092,650 ","                                                20,540,377 ","                                                        25,367,923 ","                          31,532,947 ","                          21,395,323 ","                             14,860,164 ","                             11,178,400 ","                             5,079,200 "
Total Fluid (Bbls),275579,559202,596128,577003,360202,591971,533414,535169,542527,519038,575663,"77,278","400,805","391,277","144,387","471,447","454,354","483,046","450,784","648,033","697,775","530,797","395,488","378,185","362,937","340,291",,,,,,,,,,,,,,,,,,,,,,,,,,,
 Lateral Length (ft) ,5883,9997,10672,7481,5086,7479,7346,7617,7574,7624,10950,4496,11061,10966,4185,9948,9102,9747,9800,9800,9764,5235,9856,9820,9878,9525,5210,6098,10429,7404,5610,10299,9520,7275,7389,5584,5954,9447,9218,13011,12940,2268,6415,6701,5644,4956,6818,6607,10667,10214,6942,6712,4787
 Top Perf (ft) ,8030,7828,7824,7958,9388,8657,8683,8582,8652,8549,8221,11253,12142,11902,12374,12782,12722,12780,12340,12462,12441,13153,12503,12470,12609,12653,5900,8547,8236,7548,7542,7398,7749,8910,8399,7580,6747,7748,7779,6948,7193,7781,7794,7786,7674,7544,7319,7869,7410,7499,7381,7308,7550
 Bottom Perf (ft) ,13913,17825,18496,15439,14474,16136,16029,16199,16226,16173,19171,15749,23203,22868,16559,22730,21824,22527,21802,21730,22205,18388,22359,22290,22487,22178,11110,14645,18665,14952,13152,17697,17269,16185,15788,13164,12701,17195,16997,19959,20133,10049,14209,14487,13318,12500,14137,14476,18077,17713,14323,14020,12337
 Sandface Temp (deg F) ,225,225,225,234,235,225,225,228,228,227.9,220,285.21375,351,351,331.2319,300,335,343,379,343,305,350,343,329,346,355,115,143.3666,136.9428,133,133,134,135,143.1292963,143.2309402,133.74,130.16,135,135,125,125,126,136,136,133.04,133.001,133,133,135,135,136,136,133.611
 Static Wellhead Temp (deg F) ,70,60,60,60,65,70,70,70,70,70,70,120,120,120,120,120,220.7,120,226.3,223.6,120,120,234,236,120,120,65,60,60,80,80,80,80,60,60,60,60,80,80,60,60,65,60,60,80,80,80,80,80,80,80,80,60
