Depth,LAGMWT,Time,EditFlag,TORQUE,MOTOR_RPM,STRATESUM,MWOUT,LAGMWDIFF,MWIN,BIT_RPM,DXC,MUDRETDEPTH,PUMP,LAGMTEMP,RigActivityCode,MRIN,FLOWOUT,ROP_AVG,LAGMRES,TOTGAS,MROUT,MTIN,LAGMRDIFF,FLOWIN,WOB,ONBOTTOM_TIME,ECDBIT,MTOUT,BIT_DIST,SURF_RPM,LAGMTDIFF,surfNs,surfEw,TVD_calc,GRMA,BCAV,WCLA,WCAR,WQFM,RHOB,BPHI,PEF,BS_ARC,ropAv,ropMn,ropMx,wobAv,tqAv,rpmAv,wtMudAv,ecdTdAv,dxcAv,methAv,methMn,methMx,ethAv,ethMn,ethMx,propAv,propMn,propMx,ibutAv,ibutMn,ibutMx,nbutAv,nbutMn,nbutMx,ipentAv,ipentMn,ipentMx,npentAv,npentMn,npentMx,gasAv,gasPeak,gasBackgnd,LITH,FACIES
3550.0,1320.0,2013-11-29 07:20:05,0.0,20358.209,0.0,1.7833332999999998,1320.0,-1.1446593e-47,1320.0,2.0017522,0.98767405,3532.5569,21257538.0,303.15,111.0,0.0,0.041513289,0.008813248499999999,0.0,0.0066017834,0.0,303.15,0.0,0.039500833,25216.417999999998,42683.0,1419.9468,0.0,250.99747000000002,2.0021793999999997,-303.15,6479058.826680072,435609.55142626533,2932.4144972702825,30.366546116868214,8.497091627386295,12.764445910929112,7.277980618763202,77.67910403994435,2.350328524025737,18.478360477067906,4.574955590117955,8.499999999999998,0.008581471047633057,0.005821040906521659,0.005942687002426744,30860.541432461992,20863.290982568404,1.9990682682825025,1320.0000000000323,1421.7180701585785,0.9876740500000013,22119.681709883553,411.18411244430825,37204.18548934913,-295354.09809622687,227.09310468097786,3458.5855012078264,-5903578.467291522,24.309098647301223,1671.8319327028682,-103415.8141037332,644.5305257239738,194.6872767573991,-87896.67896837166,-89.08566677510343,444.4601166801099,-103454.37427487978,-700.6799722633868,-77.28703758703297,-103440.1095610907,652.7342567284973,-54.958103798689436,51179.19300247576,51259.708718958864,51123.82528614528,sandstone,
3555.0,1320.0,2013-11-29 07:29:32,0.0,20926.212,0.0,1.7833332999999998,1320.0,-1.1446593e-47,1320.0,1.9962726000000002,0.98767405,3532.5569,21166701.0,303.15,111.0,0.0,0.04117827,0.0088077153,0.0,0.0052039857,0.0,303.15,0.0,0.039500833,35156.044,43249.0,1420.0767,0.0,255.98779,1.9968011000000003,-303.15,6479057.377028515,435614.1363816199,2933.7847256886375,30.887182609393285,8.50331588337647,7.685832543597135,0.20686041630255317,91.65002048113926,2.1606146783666227,28.405761448660854,4.4308396557704475,8.5,0.00822883618051586,0.005891463709284624,0.005959831700630147,46355.15170976223,21862.86163688714,1.998168618308163,1320.0000000000318,1421.8151834208068,0.9876740500000004,22595.0637949992,461.0394526026675,37184.870613396946,-295079.8032087985,250.73566853388465,3461.2609087447986,-5899158.333199118,51.36971199348377,1679.6272261652825,-103335.59987222038,647.6798801821991,195.91650246751263,-87821.4386910273,-77.34947503724325,448.7484579522177,-103375.15172893593,-644.8721324247741,-75.68424759367016,-103360.05782753871,656.6220050901669,-52.672739399168385,52520.1493923835,52599.15605122369,52462.115584737316,sandstone,
3560.0,1320.0,2013-11-29 07:39:40,0.0,22206.403,0.0,1.7833332999999998,1320.0,-1.1446593e-47,1320.0,2.0002308999999996,0.98767405,3536.0631,19197089.0,303.15,111.0,0.0,0.041766385,0.0081707641,0.0,0.012272786,0.0,303.15,0.0,0.039500833,38720.898,43857.0,1420.2086,0.0,260.98874,2.0000476000000003,-303.15,6479055.9290603,435618.723625933,2935.1493024332563,32.792290685793034,8.454290018096618,12.904314288556197,4.630596050202651e-06,85.8860929753281,2.177271445033519,27.862474178174537,4.050768289015416,8.499999999999998,0.00814167430183411,0.005943339307331518,0.005944669464710831,51083.71253795011,21867.142096207343,2.000813373152024,1319.9999999999943,1419.99597990822,0.9876740499999996,22955.770954628024,522.9441120417927,36960.939643255086,-288948.0169551303,273.71334964027454,3443.7259835987084,-5778240.138312885,81.4923908224806,1677.3898297268245,-101213.61648494337,638.5590260154461,195.22673134958393,-86008.28646899274,-62.401972412346296,449.69146572647026,-101253.91922279149,-587.1959346253414,-71.43856616679491,-101238.0452450447,648.1744913346636,-47.848542724014195,53489.16009700423,53566.35289858419,53428.411148659725,claystone,
3565.0,1320.0,2013-11-29 07:49:52,0.0,20821.396,0.0,1.7833332999999998,1320.0,-1.1446593e-47,1320.0,2.0010901999999997,0.98767405,3541.9719,21465926.0,303.15,111.0,0.0,0.041713706,0.008164484100000001,0.0,0.016913871,0.0,303.15,0.0,0.039500833,50070.062999999995,44469.0,1420.3406,0.0,265.98182,2.0011927,-303.15,6479054.483902788,435623.3140955989,2936.5059448269267,31.33477840362997,8.500786745417399,7.2217118354148875,0.00043596385887122337,92.79166495385326,2.1849547271383014,27.629970105813978,4.247065300037978,8.5,0.008153071110141897,0.005953880975801911,0.006004901894557189,40410.66134814741,20535.909120450142,2.0016459558885997,1319.9999999999998,1420.3970828495596,0.9876740499999999,23205.864253031952,595.6073981390587,36561.38862147471,-277691.145735314,295.74295479167347,3408.8358113055683,-5555370.227228259,113.80262304478474,1666.497182958927,-97304.84592813812,618.6313647200395,192.86604328083772,-82674.35372875354,-44.862892306617944,447.7201515077045,-97345.66672373973,-528.3253939016109,-64.88303718913619,-97329.06292083871,628.8547390754611,-40.80920591549398,54089.28759311192,54164.608532742684,54025.676081656646,claystone,
3570.0,1320.0,2013-11-29 08:23:16,0.0,9602.4019,0.0,1.1106882,1320.0,0.0,1320.0,0.97502997,0.98767405,3556.1155,10153492.0,303.15,111.0,0.0,0.027932667,0.008986,0.0,0.013753543,0.0,303.15,0.0,0.024601743,-43003.6,45941.0,1390.2704,0.0,315.33592999999996,0.97666028,-303.15,6479053.040854858,435627.90852492163,2937.8509201239585,31.70370511747852,8.448406993084877,5.324722248521271,1.7218646957985038,92.94911227787492,2.1689539429249876,28.373492832817895,3.998083112164838,8.500000000000004,0.00831398567109543,0.005940771768997458,0.0063450065579587975,31743.79729479467,19833.215236112796,1.9853660896508516,1320.0000000000052,1420.1689813155858,0.9876740500000004,23349.404754472933,677.7386182718408,36015.21359060698,-262041.59594944154,316.54129077960755,3359.4454774013952,-5245094.944540685,147.42589657088905,1648.326725433026,-91864.27018804078,589.3602977923043,189.08251813849876,-78036.77189679549,-25.351968126263866,443.2655268007579,-91905.38419907416,-468.934525290106,-56.35070454342314,-91888.10196215069,600.1257719260342,-31.878421115875035,54323.594357480615,54397.232225401596,54256.87448747229,sandstone,
3575.0,1320.0,2013-11-29 08:28:56,0.0,16361.752,0.0,1.5040637,1320.0,0.0,1320.0,1.5902948000000001,0.98767405,3556.7525,15858707.0,303.15,111.0,0.0,0.036468172,0.0088257401,0.0,0.015490053,0.0,303.15,0.0,0.03331501,-398.85553,46281.0,1408.0448,0.0,275.99839,1.5906695,-303.15,6479051.599178763,435632.5076441565,2939.1804665278773,30.844122966745857,8.498803988206957,12.981102799202695,2.0157457595505375,82.29070529558533,2.1685745653761397,28.453646141207983,4.346105030114822,8.499999999999998,0.008496590760945241,0.005929765245942935,0.006742061667674721,29939.028332114467,19920.9579407897,1.9635115962270677,1320.0000000000032,1419.323785689754,0.987674050000001,23390.4535232129,768.0470798175138,35351.410593203036,-242731.77399760444,335.82516439560254,3298.4100674222022,-4861960.6348456,181.4876993112866,1624.2558967205546,-85146.8712508873,552.2092267285648,184.12423579979168,-72312.67239960413,-4.488933277489399,436.7586031104674,-85188.06161608809,-409.69734382734975,-46.174612112384764,-85170.15347621053,563.4506134998566,-21.37988046742445,54195.142866884285,54267.533248263244,54124.97046985081,sandstone,
3580.0,1320.0,2013-11-29 08:38:22,0.0,20440.503,0.0,1.7661584,1320.0,0.0,1320.0,1.9995593,0.98767405,3556.7525,21341021.0,303.15,111.0,0.0,0.042434972,0.0088201802,0.0,0.013909791000000001,0.0,303.15,0.0,0.039120409,35255.786,46847.0,1419.9501,0.0,280.98871,1.9994589,-303.15,6479050.1581367515,435637.1121835588,2940.490822242208,32.41866434986947,8.462414788637718,6.200875411772504,-0.2600791592558689,93.52919354863658,2.158641837225889,29.79957006751077,4.052513622048263,8.5,0.008516609321501426,0.005947676253751708,0.006850824465758666,35691.12255712923,20389.07474768723,1.9554168762994046,1320.0,1418.8779520360413,0.9876740500000011,23333.0716235138,865.2420901534535,34598.97567181404,-220494.08627989484,353.3113824311846,3228.5846669040056,-4420513.642738448,215.1135191764704,1595.6621363929485,-77407.63110291374,508.6415530251457,178.2392761419414,-65719.18666366518,17.106478833499928,428.6303919416704,-77448.68894207492,-351.287864549865,-34.6878037787501,-77430.20857024829,520.2922874104029,-9.637276112409468,53706.99559809697,53778.82087303003,53632.92813253641,sandstone,
3585.0,1320.0,2013-11-29 08:47:50,0.0,21527.653,0.0,1.7666671999999999,1320.0,0.0,1320.0,2.0012533,0.98767405,3556.7525,21364265.0,303.15,111.0,0.0,0.041119777999999996,0.0088156838,0.0,0.025820624,0.0,303.15,0.0,0.039131678999999996,40459.226,47415.0,1420.0886,0.0,285.99401,2.0012029,-303.15,6479048.716991071,435641.72287338384,2941.7782254704766,31.69516970441889,8.510700265249936,12.464324761885447,0.00021293260599135975,86.05088944706975,2.142941896954206,29.98451198132681,4.272295068884153,8.5,0.00817048450057604,0.006002916809633128,0.006516417691278927,46903.76213606031,20791.46781843063,1.9709703212831855,1319.9999999999993,1419.3942560162081,0.9876740500000005,23181.320119637556,968.0329566570339,33786.90486899115,-196060.9391964043,368.71675167787953,3152.8243613828176,-3935300.312814667,247.42884407693325,1563.9228840216408,-68901.53173035613,460.1206781783716,171.6757190421725,-58473.446115464234,38.814534800498556,419.3119047992035,-68942.2561443281,-294.3801024941747,-22.22332342524824,-68923.25835149383,472.11381727114707,3.0256998069027023,52862.21502789265,52934.4043714043,52783.71157927324,sandstone,
3590.0,1320.0,2013-11-29 08:57:22,0.0,21472.917999999998,0.0,1.7666667,1320.0,0.0,1320.0,1.9969801,0.98767405,3556.7525,21513364.0,303.15,111.0,0.0,0.040601597,0.0087309714,0.0,0.02041904,0.0,303.15,0.0,0.039131667,53818.568,47987.0,1420.2028,0.0,290.99032,1.9967973,-303.15,6479047.275003972,435646.340443887,2943.0389144162095,31.495356835671007,8.53290573063279,11.115604389361453,-1.4173955210679435e-08,86.86125185682091,2.188996041280288,26.755280736695813,4.166648672156917,8.5,0.0072006200901693585,0.00605231381277326,0.006117586825798693,53657.21357653633,20581.068098297495,1.9935816370025732,1320.0,1420.1636904121583,0.9876740500000001,22939.260075846112,1075.128986705631,32944.19422728551,-170164.73914722473,381.7580789272134,3073.984236394655,-3420866.9896696974,277.5591619231683,1530.4155791780668,-59883.55511945046,408.11000368456723,164.6816443777098,-50792.58218148699,60.015501217301065,409.2341531879043,-59923.75319014097,-239.64807269680176,-9.114214934608198,-59904.2939271772,420.3782266955635,16.28535514824491,51663.86363304535,51737.593015088416,51580.28491380549,sandstone,
3595.0,1320.0,2013-11-29 09:17:34,0.0,19472.925,0.0,1.7666667,1320.0,0.0,1320.0,1.9992866000000002,0.98767405,3576.3626,21671235.0,303.15,111.0,0.0,0.040075892,0.005835064,0.0,0.011357965,0.0,303.15,0.0,0.039131667,47348.517,48848.0,1420.3169,0.0,295.99862,1.9992991999999998,-303.15,6479045.831437706,435650.9656253236,2944.2691272829315,31.899087162505865,8.520909893076965,5.86312117973937,-5.133944915466755e-06,94.13527684498881,2.1307036893600397,31.341833453093436,4.5187817603324785,8.499999999999998,0.005720662347984818,0.0060543542343363945,0.006044995299922305,48821.029652666024,19508.291089727576,2.002790310175693,1320.0,1420.4017469574662,0.9876740499999999,22610.952556401407,1185.2394876766193,32099.839789248275,-143537.89253244788,392.15217097071206,2994.9193774755313,-2891760.017898978,304.6299606256683,1496.5176614336606,-50608.6832564328,354.07293104005726,157.50513202577798,-42893.72628821908,80.08964467770193,398.8281486126098,-50648.170046806896,-187.76579019426916,4.306477810440976,-50628.30640452829,366.54853929712624,29.81799776934995,50115.00389032905,50191.696075784756,50025.61223987732,claystone,
