UTMX    UTMY    Depth
1368	1560	1723
1779	1640	1718
2297	1580	1717
2187	2040	1696
1850	1980	1698
1019	2170	1730
1513	2410	1712
1265	1520	1729
1810	2370	1695
2013	2400	1690
2119	2660	1696
1822	2770	1696
1219	2050	1723
1151	2660	1719
1433	3100	1715
1833	2970	1698
2211	2990	1712
2429	2350	1699
2556	2690	1716
3630	2120	1712
3858	3870	1701
1311	3740	1717
3350	280	1735
2408	1240	1723
166	2020	1756
