Time,Depth,LAGMWT,EditFlag,TORQUE,MOTOR_RPM,STRATESUM,MWOUT,LAGMWDIFF,MWIN,BIT_RPM,DXC,MUDRETDEPTH,PUMP,LAGMTEMP,RigActivityCode,MRIN,FLOWOUT,ROP_AVG,LAGMRES,TOTGAS,MROUT,MTIN,LAGMRDIFF,FLOWIN,WOB,ONBOTTOM_TIME,ECDBIT,MTOUT,BIT_DIST,SURF_RPM,LAGMTDIFF,TVD,dispNs,dispEw,GRMA,BCAV,WCLA,WCAR,WQFM,BPHI,PEF,RHOB,FM. LABEL,FACIES
2013-11-29 10:50:22,3630,1320.0,0,21609.818,0.0,1.8,1320.0,0.0,1320.0,2.0006359000000002,0.98767405,3611.3419,21650204.0,303.15,111,0.0,0.041039568,0.0088231347,0.0,0.021165963,0.0,303.15,0.0,0.039869999999999996,35515.373,53536.0,1422.5741,0.0,330.98599,2.0006316,-303.15,2951.901866666667,472.07223809523805,633.5325523809524,21.980204000001148,8.630735080000017,10.700959600001868,56.758796600003414,31.634432799994393,8.132544140000073,7.786916220000122,2.607745940000006,Hugin Fm. VOLVE Top,
2013-11-29 10:59:50,3635,1320.0,0,20817.283,0.0,1.8,1320.0,0.0,1320.0,1.9984509999999998,0.98767405,3611.8414,21668948.0,303.15,111,0.0,0.040178953999999996,0.0088198775,0.0,0.0090151634,0.0,303.15,0.0,0.039869999999999996,37465.439,54104.0,1422.7103,0.0,335.99429,1.9984886000000002,-303.15,2952.9827438596494,470.60958145363406,638.1898205513785,22.850859999999923,8.649263719999997,7.303380199999819,69.1065276000002,21.955656800000014,10.017531039999938,8.27292647999999,2.5961677999999995,Hugin Fm. VOLVE Top,
2013-11-29 11:09:50,3640,1320.0,0,21216.462000000003,0.0,1.8,1320.0,0.0,1320.0,1.9998008999999999,0.98767405,3616.5834,21663130.0,303.15,111,0.0,0.040313535,0.0080823926,0.0,0.009322333,0.0,303.15,0.0,0.039869999999999996,39125.127,54704.0,1422.8457,0.0,340.9898,1.9996975,-303.15,2954.0029476772615,469.1280200488997,642.8543735941321,29.72483959999933,8.726062999999993,13.274441799999165,49.875947399999504,34.5803098000016,11.846428000000063,9.218818440000566,2.584272979999996,Hugin Fm. VOLVE Top,
2013-11-29 11:21:20,3645,1320.0,0,22308.653,0.0,1.8,1320.0,0.0,1320.0,1.9998096,0.98767405,3622.4353,21680987.0,303.15,111,0.0,0.040324841,0.007944746899999999,0.0,0.020277605,0.0,303.15,0.0,0.039869999999999996,60931.90900000001,55338.0,1422.9841,0.0,345.99189,2.0001933999999997,-303.15,2954.9574220048903,467.6259784841075,647.5268185819072,23.212031999999976,8.760480720000002,6.468582559999925,60.787440000000366,31.965494399999706,6.873416080000058,9.114128080000054,2.6321389600000016,Hugin Fm. VOLVE Top,
2013-11-29 11:33:22,3650,1320.0,0,20916.39,0.0,1.8,1320.0,0.0,1320.0,2.0002468,0.98767405,3628.5743,21570508.0,303.15,111,0.0,0.040087882000000005,0.0087654523,0.0,0.02987917,0.0,303.15,0.0,0.039869999999999996,51585.185999999994,55925.0,1423.1227,0.0,350.98905,2.000514,-303.15,2955.9118963325186,466.1239369193154,652.1992635696822,69.32908119999955,8.869559920000018,8.624014160000655,50.21862539999955,41.15446519999979,21.040168000000996,10.31627796000028,2.50763720000001,Hugin Fm. VOLVE Top,
2013-11-29 11:57:32,3655,1320.0,0,21002.077999999998,0.0,1.788691,1320.0,0.0,1320.0,1.9977942,0.98767405,3637.9731,20870596.0,303.15,111,0.0,0.040778128,0.0088271315,0.0,0.022507704,0.0,303.15,0.0,0.039619507000000005,36926.625,56549.0,1422.7922,0.0,355.98679,1.9974082999999998,-303.15,2956.866370660147,464.6218953545232,656.8717085574572,44.9988919999992,8.985825480000011,13.258858000000842,39.86992160000039,46.85666199999867,14.076273200001461,9.699941919999711,2.5863216799999997,Hugin Fm. VOLVE Top,
2013-11-29 12:07:00,3660,1320.0,0,22488.472999999998,0.0,1.7833244,1320.0,0.0,1320.0,2.0005281999999998,0.98767405,3642.1443,19838342.0,303.15,111,0.0,0.040589632,0.0088243516,0.0,0.018971022,0.0,303.15,0.0,0.039500636,31738.087000000003,57117.0,1422.7049,0.0,360.99508,2.0004952,-303.15,2957.820844987775,463.11985378973105,661.5441535452322,28.811497999999748,8.699625379999985,2.748379439998298,47.71649339999864,49.10919520000335,10.931425520002307,7.635083060000312,2.595002980000008,Hugin Fm. VOLVE Top,
2013-11-29 12:16:26,3665,1320.0,0,23113.415,0.0,1.7833332999999998,1320.0,0.0,1320.0,2.0001804,0.98767405,3646.278,21654284.0,303.15,111,0.0,0.040248748,0.0088040987,0.0,0.014771309,0.0,303.15,0.0,0.039500833,48944.501,57683.0,1422.8393,0.0,365.98241,2.0000077000000003,-303.15,2958.7753193154035,461.61781222493886,666.2165985330073,31.71619359999986,8.576491760000003,7.635027840000282,41.79239440000006,49.02358879999959,9.895009759999912,7.092501039999999,2.61324008,Hugin Fm. VOLVE Top,
2013-11-29 12:25:54,3670,1320.0,0,23676.366,0.0,1.7833332999999998,1320.0,0.0,1320.0,1.9990653999999999,0.98767405,3650.156,21785418.0,303.15,111,0.0,0.040402451,0.008816038299999999,0.0,0.015997551000000002,0.0,303.15,0.0,0.039500833,55795.577000000005,58251.0,1422.9751,0.0,370.9907,1.9993536,-303.15,2959.729793643032,460.11577066014667,670.8890435207824,40.509348999999965,8.644440399999981,10.449406600000476,33.86320400000011,54.52576879999987,13.672708400000227,7.039697779999564,2.5748231599999998,Hugin Fm. VOLVE Top,
2013-11-29 12:35:22,3675,1320.0,0,22490.897999999997,0.0,1.7833332999999998,1320.0,0.0,1320.0,2.0000106,0.98767405,3651.6059,21824736.0,303.15,111,0.0,0.040002075,0.0088241207,0.0,0.011212691,0.0,303.15,0.0,0.039500833,48287.015,58819.0,1423.1111,0.0,375.999,2.0001456,-303.15,2960.68426797066,458.61372909535453,675.5614885085574,42.29229880000233,8.66507572000001,13.189914000001831,33.11410040000332,51.84403599999425,14.858372400000421,7.261409319999981,2.5799803599999995,Hugin Fm. VOLVE Top,
2013-11-29 12:45:18,3680,1320.0,0,21614.599,0.0,1.7833332999999998,1320.0,0.0,1320.0,2.0002418,0.98767405,3655.7588,21794126.0,303.15,111,0.0,0.040177427,0.008157174,0.0,0.009151398,0.0,303.15,0.0,0.039500833,44576.612,59415.0,1423.2467,0.0,380.98671,2.0006543000000003,-303.15,2961.637856030151,457.12241557788946,680.2374814070351,40.23871220000023,8.666407220000002,11.68307599999991,38.01572140000004,49.3545640000001,12.220219800000006,7.07550248,2.60056908,Hugin Fm. VOLVE Top,
2013-11-29 12:55:32,3685,1320.0,0,22732.523999999998,0.0,1.7833332999999998,1320.0,0.0,1320.0,2.0002218999999997,0.98767405,3661.1273,19731733.0,303.15,111,0.0,0.041343687000000004,0.0081621552,0.0,0.012409316,0.0,303.15,0.0,0.039500833,34623.502,60029.0,1423.3842,0.0,385.99563,2.0000769,-303.15,2962.5893761306534,455.6561341708543,684.921752763819,45.3244472000023,8.614645840000014,13.768640799998852,36.11971519999695,47.23619840000459,15.643150400001304,7.087558319999959,2.5817370399999984,Hugin Fm. VOLVE Top,
2013-11-29 13:05:43,3690,1320.0,0,22448.303,0.0,1.7833332999999998,1320.0,0.0,1320.0,2.0012354,0.98767405,3666.498,19697841.0,303.15,111,0.0,0.040735932,0.0081012193,0.0,0.011714536000000001,0.0,303.15,0.0,0.039500833,37186.386,60641.0,1423.5207,0.0,390.98872,2.0010944999999998,-303.15,2963.540896231156,454.1898527638191,689.6060241206029,27.931738399999993,8.5927965,0.9837183159999896,56.540943599999906,42.47534540000011,10.262988459999985,7.012312320000002,2.61149124,Hugin Fm. VOLVE Top,
2013-11-29 13:40:24,3695,1320.0,0,22153.93,0.0,1.7833332999999998,1320.0,0.0,1320.0,2.0008611000000003,0.98767405,3679.7281,21778193.0,303.15,111,0.0,0.041084034,0.0088065428,0.0,0.013604927,0.0,303.15,0.0,0.039500833,46500.937000000005,61360.0,1423.6541,0.0,395.99839,2.0009014,-303.15,2964.492416331658,452.7235713567839,694.2902954773868,21.308368400000273,8.5644,11.692720800000645,55.72411559999973,30.318515999999526,8.573510839999937,6.942477439999994,2.626723559999999,Hugin Fm. VOLVE Top,
2013-11-29 13:50:11,3700,1320.0,0,21956.507,0.0,1.7833332999999998,1320.0,0.0,1320.0,2.0000261000000004,0.98767405,3684.4879,19596700.0,303.15,111,0.0,0.041146632999999995,0.0087289176,0.0,0.017591327,0.0,303.15,0.0,0.039500833,29632.597,61922.0,1423.7774,0.0,400.98461000000003,2.0003736,-303.15,2965.443936432161,451.2572899497488,698.9745668341708,42.54432539999839,8.696038680000019,4.7660818199987,39.64326099999748,54.784827000003915,14.443829199998493,7.170699939999819,2.5900666399999968,Hugin Fm. VOLVE Top,
2013-11-29 14:00:18,3705,1320.0,0,21144.05,0.0,1.7833332999999998,1320.0,0.0,1320.0,2.0004246,0.98767405,3689.4255,21745304.0,303.15,111,0.0,0.04037782,0.0094790808,0.0,0.018744746,0.0,303.15,0.0,0.039500833,40381.839,62478.0,1423.914,0.0,405.96195,1.9999023999999999,-303.15,2966.3954565326635,449.7910085427136,703.6588381909546,41.97169919999956,8.668782800000006,5.662331279999154,43.545783199998155,50.65723280000261,14.521357600000044,6.98987215999998,2.5876299199999995,Hugin Fm. VOLVE Top,
2013-11-29 14:10:10,3710,1320.0,0,21422.254,0.0,1.7833332999999998,1320.0,0.0,1320.0,2.0000457999999997,0.98767405,3693.215,21826307.0,303.15,111,0.0,0.040260047,0.009073994200000001,0.0,0.016377718,0.0,303.15,0.0,0.039500833,44243.48,63039.0,1424.0503,0.0,410.99444,2.0000417,-303.15,2967.346976633166,448.3247271356784,708.3431095477385,32.29696500000006,8.555522599999994,9.536197380000651,49.02418559999758,39.87054140000186,10.323300800000004,6.535480699999967,2.615423840000004,Hugin Fm. VOLVE Top,
