x,y,tvd,md,well
456991.6262,6782710.249,1513.829524,1518.776392,A10
456991.7278,6782710.232,1513.94177,1518.928792,A10
456991.8296,6782710.215,1514.054159,1519.081391,A10
456991.9311,6782710.197,1514.166323,1519.233691,A10
456992.0328,6782710.18,1514.278557,1519.386092,A10
456992.1343,6782710.163,1514.390713,1519.538392,A10
456992.2359,6782710.145,1514.502865,1519.690692,A10
456992.3377,6782710.128,1514.615234,1519.843292,A10
456992.4393,6782710.111,1514.727451,1519.995692,A10
456992.5409,6782710.093,1514.839591,1520.147992,A10
456992.6426,6782710.076,1514.9518,1520.300392,A10
456992.7443,6782710.059,1515.064079,1520.452892,A10
456992.846,6782710.041,1515.176279,1520.605291,A10
456992.9476,6782710.024,1515.288403,1520.757592,A10
456993.0493,6782710.007,1515.400596,1520.909992,A10
456993.1511,6782709.989,1515.512931,1521.062592,A10
456993.2527,6782709.972,1515.625041,1521.214891,A10
456993.3544,6782709.955,1515.737222,1521.367292,A10
456993.456,6782709.937,1515.849324,1521.519592,A10
456993.5577,6782709.92,1515.961421,1521.671892,A10
456993.6595,6782709.903,1516.073735,1521.824492,A10
456993.7612,6782709.886,1516.185898,1521.976892,A10
456993.8629,6782709.868,1516.297983,1522.129192,A10
456993.9646,6782709.851,1516.410138,1522.281592,A10
456994.0664,6782709.834,1516.522362,1522.434092,A10
456994.1681,6782709.816,1516.634508,1522.586492,A10
456994.2698,6782709.799,1516.746577,1522.738792,A10
456994.3716,6782709.782,1516.858715,1522.891192,A10
456994.4734,6782709.764,1516.970996,1523.043791,A10
456994.5751,6782709.747,1517.083053,1523.196092,A10
456994.6769,6782709.73,1517.195179,1523.348492,A10
456994.7786,6782709.713,1517.307227,1523.500792,A10
456994.8803,6782709.695,1517.419271,1523.653092,A10
456994.9822,6782709.678,1517.531532,1523.805692,A10
456995.084,6782709.661,1517.643642,1523.958092,A10
456995.1857,6782709.643,1517.755673,1524.110391,A10
456995.2875,6782709.626,1517.867775,1524.262792,A10
456995.3893,6782709.609,1517.979946,1524.415292,A10
456995.4911,6782709.592,1518.092037,1524.567691,A10
456995.5929,6782709.574,1518.204052,1524.719991,A10
456995.6947,6782709.557,1518.316136,1524.872392,A10
456995.7966,6782709.54,1518.428363,1525.024992,A10
456995.8984,6782709.523,1518.540364,1525.177291,A10
456996.0002,6782709.505,1518.652436,1525.329692,A10
456996.1019,6782709.488,1518.76443,1525.481992,A10
456996.2037,6782709.471,1518.876419,1525.634292,A10
456996.3057,6782709.454,1518.988625,1525.786892,A10
456996.4075,6782709.436,1519.10068,1525.939292,A10
456996.5093,6782709.419,1519.212658,1526.091592,A10
456996.6111,6782709.402,1519.324704,1526.243991,A10
456996.7131,6782709.385,1519.43682,1526.396492,A10
456996.8149,6782709.367,1519.548859,1526.548892,A10
456996.9167,6782709.35,1519.66082,1526.701192,A10
456997.0186,6782709.333,1519.77285,1526.853591,A10
456997.1206,6782709.316,1519.885024,1527.006192,A10
456997.2224,6782709.298,1519.996972,1527.158492,A10
456997.3243,6782709.281,1520.10899,1527.310891,A10
456997.4261,6782709.264,1520.220931,1527.463192,A10
456997.5279,6782709.247,1520.332866,1527.615491,A10
456997.63,6782709.229,1520.445018,1527.768092,A10
456997.7319,6782709.212,1520.557022,1527.920492,A10
456997.8337,6782709.195,1520.668953,1528.072792,A10
456997.9356,6782709.178,1520.78096,1528.225192,A10
456998.0376,6782709.16,1520.893115,1528.377791,A10
456998.1395,6782709.143,1521.005055,1528.530092,A10
456998.2413,6782709.126,1521.116997,1528.682392,A10
456998.3432,6782709.109,1521.229013,1528.834791,A10
456998.4452,6782709.091,1521.341182,1528.987392,A10
456998.547,6782709.074,1521.45313,1529.139691,A10
456998.6489,6782709.057,1521.565157,1529.292092,A10
456998.7507,6782709.04,1521.677112,1529.444392,A10
456998.8525,6782709.023,1521.78907,1529.596692,A10
456998.9545,6782709.005,1521.901251,1529.749292,A10
456999.0564,6782708.988,1522.013287,1529.901692,A10
456999.1582,6782708.971,1522.125253,1530.053992,A10
456999.26,6782708.954,1522.237295,1530.206392,A10
456999.362,6782708.936,1522.349487,1530.358992,A10
456999.4638,6782708.919,1522.461461,1530.511292,A10
456999.5656,6782708.902,1522.573437,1530.663591,A10
