depth,poro,perm,well
1588.129,0.262105,230.43575,A10
1588.629,0.24079,213.29282,A10
1589.129,0.249087,209.05872,A10
1589.629,0.266838,228.02602,A10
1590.129,0.278178,264.61221,A10
1590.629,0.287472,317.03491,A10
1591.129,0.276169,387.63293,A10
1591.629,0.25829,477.15305,A10
1592.129,0.247799,493.09378,A10
1592.629,0.239668,405.92038,A10
1593.129,0.248394,300.86038,A10
1593.629,0.262502,205.12595,A10
1594.129,0.26564,132.99251,A10
1594.629,0.265276,89.018044,A10
1595.129,0.238282,61.267536,A10
1595.629,0.202785,45.930267,A10
1596.129,0.207391,45.918785,A10
1596.629,0.224802,62.163029,A10
1597.129,0.248724,102.89668,A10
1597.629,0.274724,170.74867,A10
1598.129,0.278867,203.19183,A10
1598.629,0.27603,180.26189,A10
1599.129,0.268697,140.45503,A10
1599.629,0.259926,96.062653,A10
1600.129,0.252018,63.525551,A10
1600.629,0.244385,48.093075,A10
1601.129,0.25064,47.235313,A10
1601.629,0.26133,60.144489,A10
1602.129,0.25603,75.236778,A10
1602.629,0.245625,88.813591,A10
1603.129,0.250384,89.574783,A10
1603.629,0.259985,73.912338,A10
1604.129,0.255445,60.898331,A10
1604.629,0.246389,56.622253,A10
1605.129,0.241695,55.667686,A10
1605.629,0.238395,56.305214,A10
1606.129,0.225516,52.314911,A10
1606.629,0.209578,41.710819,A10
1607.129,0.222306,32.268536,A10
1607.629,0.244187,26.470722,A10
1608.129,0.246093,23.262724,A10
1608.629,0.241623,22.307796,A10
1609.129,0.245685,24.088835,A10
1609.629,0.252471,28.760015,A10
1610.129,0.254998,50.564491,A10
1610.629,0.256165,94.049942,A10
1611.129,0.249068,146.4888,A10
1611.629,0.239332,203.81728,A10
1612.129,0.245592,213.11374,A10
1612.629,0.256958,157.48094,A10
1613.129,0.2489,104.66059,A10
1613.629,0.23464,76.281876,A10
1614.129,0.245086,67.37674,A10
1614.629,0.263421,76.358948,A10
1615.129,0.258149,94.720116,A10
1615.629,0.245341,119.74359,A10
1616.129,0.250761,132.13319,A10
1616.629,0.262003,125.72784,A10
